estação,endereço,latitude,longitude,bicicletas disponÍveis,vagas livres
112,R. Padre Ibiapina - Jacarecanga,-3.7299497208184955, -38.53986947377878,2,14
80,SENAI - Jacarecanga,-3.726405710264341, -38.54065822280009,4,12
79,Av. Filomeno Gomes - Jacarecanga,-3.723731828212971, -38.541459646251745,7,5
81,Rua Maria Luíza - Jacarecanga,-3.718821917754491, -38.54178457249446,7,9
82,Av. Presidente Castelo Branco - Jacarecanga,-3.7146038586369623, -38.54548934148108,6,14
36,Rod. Pres. Juscelino Kubitschek - Farias Brito,-3.7314008979437885, -38.54275460065244,3,9
78,Av. José Jatahy - Monte Castelo,-3.7277434936196854, -38.5451198170971,2,10
97,Av. Francisco Sá - Barra do Ceará,-3.714613052155735, -38.56592831388253,5,11
83,Rua Francisco Cordeiro esquina com Av. Presidente Castelo Branco,-3.7135921085756416, -38.54878900799186,1,11
38,Instituto dos Cegos - Av. Bezerra de Menezes,-3.7330738165444375, -38.551950753212836,5,7
103,Av. Sgt. Hermínio Sampaio - São Gerardo,-3.7256259352727907, -38.55695219381517,3,13
102,Av. Srg. Hermínio Sampaio - Monte Castelo,-3.7250048878493205, -38.55455188390992,3,13
210,Rua Demóstenes de Carvalho - Bairro Ellery,-3.7221630615298538, -38.560090267341714,6,6
98,R. Álvaro de Alencar - Jacarecanga,-3.7170029768269797, -38.55815881597873,3,9
99,Av. Pasteur - Carlito Pamplona,-3.7160603827858787, -38.56064512657807,1,15
85,Av. Pasteur em frente à escola EEFM Governador Flávio Marcílio,-3.7109043444003307, -38.55870989202377,0,16
95,R. Santa Elisa - Jacarecanga,-3.70640717023082, -38.55965085119673,4,10
106,Av. Sgt. Hermínio Sampaio - Monte Castelo,-3.7287662381116573, -38.571720677957636,7,7
104,Av. Dr. Theberge - Pres. Kennedy,-3.7267732577497448, -38.56881466803428,5,11
105,Av. Dr. Theberge - Pres. Kennedy,-3.723064586026361, -38.567748529061454,1,15
100,Av. Dr. Theberge - Cristo Redentor,-3.714383251728945, -38.56498567441786,5,11
86,Canteiro central da Av. Presidente Castelo Branco esquina com a Av. Doutor Theberge,-3.710219261453222, -38.563131890251455,3,13
96,Av. Dr. Theberge - Cristo Redentor,-3.707494686588069, -38.562702088972564,-3.7075600478058295, -38.56269198304054,0,12
228,Rua Tenente José Barreira - Álvaro Weyne,-3.717077831380205, -38.571619323483766,6,6
101,Av. Francisco Sá - Barra do Ceará,-3.7132575786572577, -38.56967018502275,8,8
87,Canteiro central da Av. Presidente Castelo Branco em frente à UPA,-3.7082729641561167, -38.56827958050825,9,7
94,R. Santa Elisa - Jacarecanga,-3.7077704498678927, -38.55610329614944,3,11
201,R. Otávio Paranhos - Jardim Iracema,-3.709721495676536, -38.589972268601734,4,8
227,Rua Conselheiro Lafayette esquina com a Rua Rio Tocantins ao lado da Areninha,-3.718192440803606, -38.580570032950995,4,8
247,Av. Francisco Sá - Barra do Ceará,-3.711892211120753, -38.57390986734363,8,4
88,Av. Pres. Castelo Branco - Barra do Ceará,-3.7069456833822407, -38.57274654849314,2,10
201,R. Otávio Paranhos - Jardim Iracema,-3.709697171079259, -38.58997398167498,4,8
245,R. Conselheiro Lafayette - Jardim Iracema,-3.717647813428126, -38.58774112172684,5,7
246,Av. Cel. Carvalho - Barra do Ceará,-3.7133148256936463, -38.58860911551259,7,5
195,Av. Francisco Sá - Barra do Ceará,-3.7075711875371185, -38.583934828482434,4,8
89,R. Caubi - Barra do Ceará,-3.7041633045981057, -38.57826069693584,8,8
244,Rua George Cavalcante esquina com a Rua Profa. Maria Clara ao lado da Areninha Thauzer Parente,-3.7244541754294995, -38.592498348001136,8,4
205,Rua Cariús - Vila Velha,-3.7208210372122608, -38.596082568615316,8,4
248,Av. Mozart Pinheiro de Lucena - Vila Velha,-3.718414823835236, -38.59587641805189,6,6
249,Av. Dom Aloísio Lorscheider - Vila Velha,-3.7144611973967283, -38.597092599441346,5,7
240,Av. L - Vila Velha,-3.716903856165987, -38.60176907913511,6,6
208,Av. Mozart Pinheiro de Lucena - Vila Velha,-3.7115503564296826, -38.584373289224295,6,8
199,Av. Cel. Carvalho - Barra do Ceará,-3.709376571715848, -38.58880470688955,1,13
195,Av. Francisco Sá - Barra do Ceará,-3.7076268255588065, -38.5839330955254,4,8
90,Av. Presidente Castelo Branco próximo à rua Irapuã,-3.7017961060777593, -38.58405594185685,5,11
91,Av. Presidente Castelo Branco no estacionamento do Cuca Barra,-3.700201585547691, -38.5876000354839,9,12
92,Rua José Roberto Sales esquina com Av. José Lima Verde,-3.694408665199741, -38.58606605027548,12,16
93,R. José Roberto Sáles - Barra do Ceará,-3.6948260153870507, -38.58131617435782,4,10